,Ranking,Move,Country,Player,Age,Points,Tourn Played,Points Dropping,Next Best
0,1,,SUI,Roger Federer ,36,"10,060 ",17 ,"1,000",0
1,2,,ESP,Rafael Nadal ,31,"9,460 ",16 ,90,0
2,3,,CRO,Marin Cilic ,29,"4,870 ",20 ,10,45
3,4,,BUL,Grigor Dimitrov ,26,"4,635 ",23 ,45,10
4,5,,GER,Alexander Zverev ,20,"4,540 ",24 ,45,90
5,6,,AUT,Dominic Thiem ,24,"3,810 ",25 ,180,45
6,7,,BEL,David Goffin ,27,"3,280 ",24 ,90,45
7,8,1,ARG,Juan Martin del Potro ,29,"3,200 ",20 ,45,20
8,9,1,RSA,Kevin Anderson ,31,"3,080 ",23 ,25,45
9,10,,USA,Jack Sock ,25,"2,650 ",22 ,360,0
10,11,1,SUI,Stan Wawrinka ,32,"2,475 ",16 ,600,0
11,12,3,FRA,Lucas Pouille ,24,"2,455 ",24 ,45,150
12,13,,SRB,Novak Djokovic ,30,"2,380 ",14 ,90,0
13,14,,ESP,Pablo Carreno Busta ,26,"2,315 ",25 ,360,0
14,15,2,CZE,Tomas Berdych ,32,"2,275 ",19 ,45,0
15,16,7,ESP,Roberto Bautista Agut ,29,"2,255 ",25 ,45,90
16,17,1,ARG,Diego Schwartzman ,25,"2,220 ",27 ,10,90
17,18,1,USA,John Isner ,32,"2,205 ",25 ,45,20
18,19,1,ITA,Fabio Fognini ,30,"2,190 ",24 ,45,45
19,20,4,AUS,Nick Kyrgios ,22,"2,125 ",18 ,180,0
20,21,10,USA,Sam Querrey ,30,"2,095 ",23 ,10,0
21,22,,ESP,Albert Ramos-Vinolas ,30,"1,745 ",30 ,45,45
22,23,1,FRA,Adrian Mannarino ,29,"1,715 ",26 ,25,45
23,24,1,GBR,Kyle Edmund ,23,"1,642 ",24 ,25,20
24,25,1,JPN,Kei Nishikori ,28,"1,595 ",20 ,180,0
25,26,3,KOR,Hyeon Chung ,21,"1,567 ",22 ,0,0
26,27,1,LUX,Gilles Muller ,34,"1,535 ",22 ,45,20
27,28,6,SRB,Filip Krajinovic ,26,"1,503 ",26 ,0,0
28,29,8,GBR,Andy Murray ,30,"1,460 ",14 ,10,0
29,30,,BIH,Damir Dzumhur ,25,"1,445 ",29 ,25,45
30,31,1,RUS,Andrey Rublev ,20,"1,433 ",23 ,50,0
31,32,6,ESP,Feliciano Lopez ,36,"1,340 ",25 ,10,45
32,33,6,ESP,David Ferrer ,35,"1,325 ",23 ,0,0
33,34,3,URU,Pablo Cuevas ,32,"1,310 ",25 ,180,0
34,35,1,FRA,Jo-Wilfried Tsonga ,32,"1,310 ",17 ,10,0
35,36,1,FRA,Richard Gasquet ,31,"1,305 ",22 ,0,0
36,37,4,GER,Philipp Kohlschreiber ,34,"1,290 ",22 ,45,0
37,38,2,CAN,Milos Raonic ,27,"1,270 ",20 ,0,0
38,39,12,ESP,Fernando Verdasco ,34,"1,260 ",26 ,45,20
39,40,2,JPN,Yuichi Sugita ,29,"1,240 ",27 ,90,0
40,41,,RUS,Karen Khachanov ,21,"1,235 ",27 ,25,45
41,42,7,FRA,Gael Monfils ,31,"1,220 ",20 ,90,0
42,43,1,SLO,Aljaz Bedene ,28,"1,168 ",21 ,125,20
43,44,1,CAN,Denis Shapovalov ,18,"1,166 ",25 ,115,0
44,45,2,NED,Robin Haase ,30,"1,085 ",29 ,10,45
45,46,,FRA,Benoit Paire ,28,"1,075 ",31 ,10,45
46,47,2,ARG,Leonardo Mayer ,30,"1,044 ",23 ,54,0
47,48,11,USA,Jared Donaldson ,21,"1,038 ",26 ,25,20
48,49,1,CRO,Borna Coric ,21,"1,026 ",25 ,20,0
49,50,1,GER,Peter Gojowczyk ,28,"1,016 ",23 ,41,0
50,51,3,UKR,Alexandr Dolgopolov ,29,"1,001 ",20 ,25,0
51,52,5,USA,Steve Johnson ,28,975 ,25 ,45,20
52,53,1,GER,Mischa Zverev ,30,952 ,32 ,45,20
53,54,6,USA,Ryan Harrison ,25,945 ,26 ,10,20
54,55,2,ITA,Paolo Lorenzi ,36,930 ,31 ,25,0
55,56,,GER,Jan-Lennard Struff ,27,930 ,31 ,25,20
56,57,5,RUS,Daniil Medvedev ,22,924 ,25 ,10,0
57,58,3,FRA,Julien Benneteau ,36,907 ,18 ,26,0
58,59,1,USA,Tennys Sandgren ,26,893 ,32 ,0,0
59,60,3,ARG,Guido Pella ,27,880 ,24 ,25,4
60,61,12,CHI,Nicolas Jarry ,22,872 ,26 ,48,6
61,62,,ITA,Andreas Seppi ,34,861 ,25 ,0,0
62,63,,CZE,Jiri Vesely ,24,850 ,26 ,25,20
63,64,3,USA,Frances Tiafoe ,20,844 ,25 ,10,0
64,65,1,HUN,Marton Fucsovics ,26,825 ,24 ,0,0
65,66,3,ARG,Horacio Zeballos ,32,813 ,29 ,25,20
66,67,2,ARG,Federico Delbonis ,27,800 ,20 ,25,0
67,68,2,SRB,Viktor Troicki ,32,790 ,28 ,10,10
68,69,2,ESP,Guillermo Garcia-Lopez ,34,780 ,29 ,10,9
69,70,2,FRA,Gilles Simon ,33,765 ,27 ,0,0
70,71,11,GRE,Stefanos Tsitsipas ,19,756 ,31 ,0,0
71,72,2,GER,Florian Mayer ,34,739 ,23 ,0,0
72,73,2,GER,Maximilian Marterer ,22,734 ,29 ,17,8
73,74,3,USA,Taylor Fritz ,20,714 ,24 ,45,8
74,75,8,CAN,Vasek Pospisil ,27,708 ,25 ,61,10
75,76,2,RUS,Evgeny Donskoy ,27,707 ,28 ,97,6
76,77,1,ITA,Thomas Fabbiano ,28,688 ,27 ,65,14
77,78,9,AUS,Matthew Ebden ,30,685 ,22 ,0,0
78,79,,ESP,Roberto Carballes Baena ,24,683 ,30 ,0,0
79,80,,CRO,Ivo Karlovic ,39,680 ,22 ,10,0
80,81,6,ROU,Marius Copil ,27,677 ,25 ,26,0
81,82,6,BIH,Mirza Basic ,26,677 ,20 ,0,0
82,83,1,GEO,Nikoloz Basilashvili ,26,666 ,29 ,36,0
83,84,33,TUN,Malek Jaziri ,34,661 ,33 ,90,0
84,85,13,POR,Joao Sousa ,28,660 ,31 ,25,0
85,86,1,TPE,Yen-Hsun Lu ,34,660 ,19 ,20,0
86,87,6,UZB,Denis Istomin ,31,658 ,23 ,0,0
87,88,2,MDA,Radu Albot ,28,643 ,30 ,26,10
88,89,1,KAZ,Mikhail Kukushkin ,30,638 ,24 ,108,0
89,90,,SRB,Laslo Djere ,22,626 ,28 ,0,0
90,91,,SRB,Dusan Lajovic ,27,621 ,26 ,106,0
91,92,1,AUS,John Millman ,28,613 ,23 ,0,0
92,93,6,FRA,Pierre-Hugues Herbert ,26,610 ,24 ,25,10
93,94,2,ARG,Nicolas Kicker ,25,609 ,28 ,6,0
94,95,1,RUS,Mikhail Youzhny ,35,604 ,27 ,25,8
95,96,1,GER,Cedrik-Marcel Stebe ,27,602 ,18 ,0,0
96,97,3,ISR,Dudi Sela ,32,595 ,23 ,10,0
97,98,6,AUS,Jordan Thompson ,23,595 ,26 ,10,18
98,99,10,USA,Donald Young ,28,586 ,24 ,90,0
99,100,3,FRA,Jeremy Chardy ,31,580 ,25 ,50,40
100,101,3,FRA,Nicolas Mahut ,36,576 ,21 ,10,6
101,102,10,CYP,Marcos Baghdatis ,32,564 ,21 ,0,0
102,103,2,SVK,Lukas Lacko ,30,561 ,25 ,0,0
103,104,2,BRA,Rogerio Dutra Silva ,34,561 ,32 ,80,12
104,105,3,POR,Gastao Elias ,27,553 ,30 ,10,10
105,106,2,LTU,Ricardas Berankis ,27,548 ,26 ,0,0
106,107,4,ITA,Marco Cecchinato ,25,543 ,32 ,0,0
107,108,4,ITA,Matteo Berrettini ,21,540 ,20 ,0,0
108,109,2,JPN,Taro Daniel ,25,539 ,27 ,95,0
109,110,5,IND,Yuki Bhambri ,25,538 ,22 ,62,14
110,111,2,GBR,Cameron Norrie ,22,529 ,21 ,0,0
111,112,1,USA,Bjorn Fratangelo ,24,523 ,30 ,25,12
112,113,3,BEL,Ruben Bemelmans ,30,518 ,24 ,48,0
113,114,5,AUT,Gerald Melzer ,27,505 ,22 ,0,0
114,115,1,ESP,Adrian Menendez-Maceiras ,32,497 ,23 ,0,0
115,116,,SLO,Blaz Kavcic ,31,488 ,26 ,55,6
116,117,6,USA,Ernesto Escobedo ,21,481 ,25 ,0,0
117,118,,UKR,Sergiy Stakhovsky ,32,474 ,29 ,0,0
118,119,2,POR,Pedro Sousa ,29,473 ,21 ,0,0
119,120,,GER,Yannick Hanfmann ,26,471 ,23 ,8,0
120,121,6,FRA,Quentin Halys ,21,469 ,23 ,0,0
121,122,2,SVK,Andrej Martin ,28,467 ,24 ,0,0
122,123,4,ITA,Stefano Travaglia ,26,464 ,26 ,0,0
123,124,1,BRA,Thiago Monteiro ,23,458 ,28 ,10,6
124,125,2,SUI,Henri Laaksonen ,25,451 ,28 ,41,8
125,126,,USA,Tim Smyczek ,30,450 ,22 ,25,0
126,127,1,RUS,Andrey Kuznetsov ,27,446 ,21 ,10,0
127,128,1,SWE,Elias Ymer ,21,432 ,25 ,26,6
128,129,52,SVK,Martin Klizan ,28,431 ,19 ,25,0
129,130,,GER,Dustin Brown ,33,428 ,28 ,55,0
130,131,9,ESP,Marcel Granollers ,31,427 ,23 ,10,0
131,132,1,ARG,Carlos Berlocq ,35,424 ,29 ,15,6
132,133,1,BRA,Thomaz Bellucci ,30,418 ,21 ,20,0
133,134,5,CAN,Peter Polansky ,29,412 ,31 ,7,6
134,135,2,IND,Ramkumar Ramanathan ,23,411 ,28 ,0,0
135,136,2,GER,Yannick Maden ,28,410 ,25 ,0,0
136,137,3,GER,Oscar Otte ,24,408 ,24 ,0,0
137,138,3,FRA,Corentin Moutet ,18,408 ,26 ,1,0
138,139,3,BEL,Steve Darcis ,33,406 ,17 ,0,0
139,140,3,AUT,Sebastian Ofner ,21,401 ,25 ,2,0
140,141,4,AUS,Alex de Minaur ,19,401 ,20 ,23,0
141,142,2,USA,Mackenzie McDonald ,22,397 ,29 ,7,5
142,143,1,KAZ,Alexander Bublik ,20,390 ,27 ,0,0
143,144,3,SVK,Norbert Gombos ,27,385 ,33 ,0,0
144,145,,SVK,Jozef Kovalik ,25,377 ,26 ,0,0
145,146,2,SRB,Janko Tipsarevic ,33,376 ,11 ,0,0
146,147,1,FRA,Calvin Hemery  ,23,374 ,27 ,0,0
147,148,1,BLR,Ilya Ivashka ,24,369 ,17 ,0,0
148,149,1,EST,Jurgen Zopp ,29,363 ,19 ,0,0
149,150,3,JPN,Go Soeda ,33,363 ,23 ,0,0
150,151,40,BAR,Darian King ,25,362 ,20 ,41,0
151,152,22,ITA,Simone Bolelli ,32,361 ,18 ,29,0
152,153,4,DOM,Victor Estrella Burgos ,37,357 ,26 ,0,0
153,154,4,BLR,Egor Gerasimov ,25,357 ,11 ,1,0
154,155,,TPE,Jason Jung ,28,357 ,24 ,6,0
155,156,5,USA,Tommy Paul ,20,355 ,20 ,10,0
156,157,5,RUS,Alexey Vatutin ,25,355 ,31 ,10,6
157,158,1,FRA,Gleb Sakharov ,29,354 ,31 ,45,22
